Timestamp;QPU_Name;Estado;Tareas_Normales_Cola;Trabajos_Hibridos_Cola
2026-05-05 10:50:45;Garnet;ONLINE;0;0
2026-05-05 10:50:45;Forte 1;ONLINE;0;0
2026-05-05 11:50:50;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 11:50:50;Garnet;ONLINE;0;0
2026-05-05 11:50:50;Forte 1;ONLINE;0;0
2026-05-05 12:50:56;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 12:50:56;Garnet;ONLINE;0;0
2026-05-05 12:50:56;Forte 1;ONLINE;0;0 (1 prioritized hybrid job running)
2026-05-05 13:51:01;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 13:51:01;Garnet;ONLINE;0;0
2026-05-05 13:51:01;Forte 1;ONLINE;0;0 (1 prioritized hybrid job running)
2026-05-05 14:51:07;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 14:51:07;Garnet;ONLINE;0;0
2026-05-05 14:51:07;Forte 1;ONLINE;1;0 (1 prioritized hybrid job running)
2026-05-05 15:51:12;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 15:51:12;Garnet;ONLINE;6;0
2026-05-05 15:51:12;Forte 1;ONLINE;1;0
2026-05-05 16:51:18;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 16:51:18;Garnet;ONLINE;7;0
2026-05-05 16:51:18;Forte 1;ONLINE;1;0
2026-05-05 17:51:23;Cepheus-1-108Q;ONLINE;1;0
2026-05-05 17:51:23;Garnet;ONLINE;0;0
2026-05-05 17:51:23;Forte 1;ONLINE;1;0
2026-05-05 18:51:28;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 18:51:28;Garnet;ONLINE;0;0
2026-05-05 18:51:28;Forte 1;ONLINE;115;0
2026-05-05 19:51:34;Cepheus-1-108Q;ONLINE;1;0
2026-05-05 19:51:34;Garnet;ONLINE;0;0
2026-05-05 19:51:34;Forte 1;ONLINE;1;0
2026-05-05 20:51:39;Cepheus-1-108Q;ONLINE;1;0
2026-05-05 20:51:39;Garnet;ONLINE;0;0
2026-05-05 20:51:39;Forte 1;ONLINE;2;0
2026-05-05 21:51:45;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 21:51:45;Garnet;ONLINE;0;0
2026-05-05 21:51:45;Forte 1;ONLINE;2;0
2026-05-05 22:51:50;Cepheus-1-108Q;ONLINE;1;0
2026-05-05 22:51:50;Garnet;ONLINE;0;0
2026-05-05 22:51:50;Forte 1;ONLINE;2;0
2026-05-05 23:51:56;Cepheus-1-108Q;ONLINE;0;0
2026-05-05 23:51:56;Garnet;ONLINE;0;0
2026-05-05 23:51:56;Forte 1;ONLINE;0;0
2026-05-06 00:52:01;Cepheus-1-108Q;ONLINE;1;0
2026-05-06 00:52:01;Garnet;ONLINE;0;0
2026-05-06 00:52:01;Forte 1;ONLINE;0;0
2026-05-06 01:52:06;Cepheus-1-108Q;ONLINE;0;0
2026-05-06 01:52:06;Garnet;ONLINE;1;0
2026-05-06 01:52:06;Forte 1;ONLINE;1;0
2026-05-06 02:52:11;Cepheus-1-108Q;ONLINE;1;0
2026-05-06 02:52:11;Garnet;ONLINE;1;0
2026-05-06 02:52:11;Forte 1;ONLINE;0;0
2026-05-06 03:52:16;Cepheus-1-108Q;ONLINE;0;0
2026-05-06 03:52:16;Garnet;ONLINE;0;0
2026-05-06 03:52:16;Forte 1;ONLINE;0;0
2026-05-06 04:52:21;Cepheus-1-108Q;ONLINE;1;0
2026-05-06 04:52:21;Garnet;ONLINE;0;0
2026-05-06 04:52:21;Forte 1;ONLINE;0;0
2026-05-06 05:52:27;Cepheus-1-108Q;ONLINE;2;0
2026-05-06 05:52:27;Garnet;ONLINE;0;0
2026-05-06 05:52:27;Forte 1;ONLINE;0;0
2026-05-06 06:52:32;Cepheus-1-108Q;ONLINE;0;0
2026-05-06 06:52:32;Garnet;ONLINE;0;0
2026-05-06 06:52:32;Forte 1;ONLINE;0;0
2026-05-06 07:52:37;Cepheus-1-108Q;ONLINE;0;0
2026-05-06 07:52:37;Garnet;ONLINE;0;0
2026-05-06 07:52:37;Forte 1;ONLINE;0;0
2026-05-06 08:52:42;Cepheus-1-108Q;ONLINE;0;0
2026-05-06 08:52:42;Garnet;ONLINE;0;0
2026-05-06 08:52:42;Forte 1;ONLINE;0;0
2026-05-06 09:52:47;Cepheus-1-108Q;ONLINE;0;0
2026-05-06 09:52:47;Garnet;ONLINE;0;0
